Tag,Tag Type,Doc Count,Expected-Loss-Per-Word (Wiki),Expected-Loss-Per-Word (Full)
ADJ,pos,53094,0.08787774510682718,0.09309880874145525
ADP,pos,80856,-0.16872667004931896,-0.17395080740371555
ADV,pos,26834,0.07796652047297625,0.06640558654587281
AUX,pos,41050,-0.13396547904794048,-0.1567211947614164
CCONJ,pos,33845,-0.06625072973339721,-0.07423227488581752
DET,pos,70423,-0.1654452275276346,-0.17663456599204502
INTJ,pos,245,0.24255878695810626,0.1801467125440157
NOUN,pos,86989,0.05743813985263998,0.061223273053104786
NUM,pos,39729,-0.10113861125821447,-0.101302633085124
PART,pos,23875,-0.08789890008252947,-0.11027713306870963
PRON,pos,37458,-0.09031635079549928,-0.12128236641928489
PROPN,pos,82289,0.05833590220688211,0.08094539615638592
PUNCT,pos,82734,-0.15092947654055114,-0.15632579475318686
SCONJ,pos,12231,0.028618465892452087,-0.007830083436544993
SYM,pos,2235,-0.1862393762839647,-0.16809547548660578
VERB,pos,68034,0.03663431857061733,0.026207779311660524
X,pos,1785,-0.05224212912391159,-0.014068551983641823
noun.act,sst,22450,0.047821690535508735,0.059219456950643797
noun.animal,sst,3011,0.10935265027642235,0.1125731584086415
noun.artifact,sst,21172,0.12781770099284084,0.12740817385684547
noun.attribute,sst,6663,0.08427302448296267,0.0780363475367808
noun.body,sst,2104,0.2839744480415409,0.2954373685298895
noun.cognition,sst,10435,0.2009136588014817,0.1962290877626457
noun.communication,sst,24345,0.058450613322297555,0.06169867624384958
noun.event,sst,7010,-0.10196042087088392,-0.10132545764666685
noun.feeling,sst,771,0.36325650747087673,0.264155143931841
noun.food,sst,804,0.33790021470326853,0.29466855661097063
noun.group,sst,45215,-0.07785218093352216,-0.06009679386592045
noun.location,sst,40014,-0.0494177737744461,-0.0377051378256087
noun.motive,sst,88,0.04778281623464551,-0.00774313794679969
noun.object,sst,3116,0.09927176845073982,0.10767636810020356
noun.person,sst,50812,0.16984682635088566,0.17493469380241702
noun.phenomenon,sst,1611,0.17938547130131852,0.18491717544154115
noun.plant,sst,1249,0.16824794602209164,0.18386034160690412
noun.possession,sst,3401,0.10276297079952414,0.10091388493529749
noun.process,sst,938,0.33765054807787276,0.3567752908604187
noun.quantity,sst,3389,-0.09860212186232352,-0.08304676265245758
noun.relation,sst,2412,-0.045159747752008914,-0.0361051281026104
noun.shape,sst,311,0.44519887598077956,0.4735709324609907
noun.state,sst,6641,0.13331867487975238,0.12509936784943831
